id_polytech_inter;sexe;filiere;cursus;nationalite;diplome;stage_3a;stage_4a;s9_5a;stage_5a;double_diplome;sejourt_court;cesure;substitution;nb_mois_stage;nb_mois_etude;commentaires;total
2122_INTER_MECA031;M;MECA;FISE;ANGOLAIS(E);oui;;;;;;;;;0;0;;0
2122_INTER_MECA032;F;MECA;FISE;FRANCAIS(E);oui;;;;;;;;MOOC;0;0;;0
2122_INTER_MECA033;M;MECA;FISE;FRANCAIS(E);DD Cranfield en cours;;;;;10;;;;0;10;;10
2122_INTER_MECA034;M;MECA;FISE;FRANCAIS(E);oui;;;5;;;;;;0;5;;5
2122_INTER_MECA035;M;MECA;FISE;FRANCAIS(E);oui;;;;5;10;;;;5;10;;15
2122_INTER_MECA036;M;MECA;FISE;FRANCAIS(E);DD UQAC en cours;;;;;10;;;;0;10;;10
2122_INTER_MECA037;M;MECA;FISE;FRANCAIS(E);oui;;;;;;;;MOOC;0;0;;0
2122_INTER_MECA038;M;MECA;FISE;;oui;;;;;;;;travail de substitution (COVID);0;0;;0
2122_INTER_MECA039;M;MECA;FISE;FRANCAIS(E);oui;;;4;;;;;;0;4;;4
2122_INTER_MECA040;M;MECA;FISE;FRANCAIS(E);;;;;;;;;MOOC;0;0;;0
2122_INTER_MECA041;M;MECA;FISE;FRANCAIS(E);oui;;;;;;;;MOOC;0;0;;0
2122_INTER_MECA042;F;MECA;FISE;FRANCAIS(E);oui;;;;;;1;;;1;0;;1
2122_INTER_MECA043;M;MECA;FISE;FRANCAIS(E);oui;;;5;;;;;;0;5;;5
2122_INTER_MECA044;M;MECA;FISE;FRANCAIS(E);oui;;;5;;;;;;0;5;;5
2122_INTER_MECA045;M;MECA;FISE;FRANCAIS(E);oui;;;;7;10;;;;7;10;;17
2122_INTER_MECA046;M;MECA;FISE;FRANCAIS(E);oui;;;;;10;;;;0;10;;10
2122_INTER_MECA047;M;MECA;FISE;FRANCAIS(E);oui;;;;;;;;;0;5;;5
2122_INTER_MECA048;M;MECA;FISE;FRANCAIS(E);oui;;;;;;;;MOOC;0;0;;0
2122_INTER_MAM001;M;MAM;FISE;FRANCAIS(E);oui;;;;;;;;MOOC;0;0;;0
2122_INTER_MAM002;F;MAM;FISE;FRANCAIS(E);oui;;;;;;;;MOOC;0;0;;0
2122_INTER_MAM003;M;MAM;Cpro;FRANCAIS(E);;;4,5;;;;;;;4,5;0;;4,5
2122_INTER_MAM004;F;MAM;FISE;FRANCAIS(E);oui;;;;;;;;MOOC;0;0;;0
2122_INTER_MAM005;M;MAM;FISE;FRANCAIS(E);oui;;;;;;;;MOOC;0;0;;0
2122_INTER_MAM006;F;MAM;FISE;BENINOIS(E);oui;;;;;;;;;0;0;;0
2122_INTER_MAM007;F;MAM;FISE;FRANCAIS(E);oui;;;6;5;;;;;5;6;;11
2122_INTER_MAM008;F;MAM;FISE;FRANCAIS(E);oui;;;;;;1;;;1;0;;1
2122_INTER_MAM009;M;MAM;FISE;FRANCAIS(E);oui;;;5;;;;;;0;5;;5
2122_INTER_MAM010;M;MAM;FISE;GEORGIEN(NE);oui;;;;;;;;MOOC;0;0;;0
2122_INTER_MAM011;M;MAM;FISE;FRANCAIS(E);;;;;;;1;;;1;0;;1
2122_INTER_MAM012;M;MAM;FISE;FRANCAIS(E);;;;;;;1;;;1;0;;1
2122_INTER_MAM013;M;MAM;FISE;FRANCAIS(E);oui;;;;;;;;MOOC;0;0;;0
2122_INTER_MAM014;M;MAM;FISE;FRANCAIS(E);oui;;;;;;;;MOOC;0;0;;0
2122_INTER_MAM015;M;MAM;FISE;FRANCAIS(E);oui;;;5;;;;;;0;5;;5
2122_INTER_MAM016;M;MAM;FISE;FRANCAIS(E);oui;;;;;;;;MOOC;0;0;;0
2122_INTER_MAM017;F;MAM;FISE;FRANCAIS(E);oui;;;;;;;;MOOC;0;0;;0
2122_INTER_MAM018;M;MAM;FISE;FRANCAIS(E);oui;;;;;;;;MOOC;0;0;;0
2122_INTER_MAM019;M;MAM;FISE;FRANCAIS(E);;;;;;;1;;;1;0;;1
2122_INTER_MAM020;M;MAM;FISE;FRANCAIS(E);oui;;;;;;;;MOOC;0;0;;0
2122_INTER_MAM021;M;MAM;Cpro;FRANCAIS(E);oui;;5;;;;;;;5;0;;5
2122_INTER_MAM022;F;MAM;FISE;FRANCAIS(E);oui;;;4;;;;;;0;4;;4
2122_INTER_MAM023;F;MAM;FISE;ESPAGNOL(E);oui;;;5;;;;;;0;5;;5
2122_INTER_MAM024;M;MAM;FISE;FRANCAIS(E);oui;;;5;;;;;;0;5;;5
2122_INTER_MAM025;M;MAM;FISE;FRANCAIS(E);oui;;;5;;;;;;0;5;;5
2122_INTER_MAM026;M;MAM;FISE;FRANCAIS(E);oui;;;;;;;;;0;0;;0
2122_INTER_IFA001;M;Apprentis;FISA;IVOIRIEN(NE);oui;;;;;;;;;0;6;;6
2122_INTER_IFA002;M;Apprentis;FISA;FRANCAIS(E);oui;;;;;;;;MOOC;0;0;;0
2122_INTER_IFA003;M;Apprentis;FISA;FRANCAIS(E);oui;;;;;;;;MOOC;0;0;;0
2122_INTER_IFA004;M;Apprentis;FISA;FRANCAIS(E);oui;;;;;;;;MOOC;0;0;;0
2122_INTER_IFA005;M;Apprentis;FISA;FRANCAIS(E);oui;;;;;;;;MOOC;0;0;;0
2122_INTER_IFA006;M;Apprentis;FISA;FRANCAIS(E);oui;;;;;;;;MOOC;0;0;;0
2122_INTER_IFA007;M;Apprentis;FISA;FRANCAIS(E);oui;;;;;;1;;;1;0;;1
2122_INTER_IFA008;M;Apprentis;FISA;FRANCAIS(E);oui;;;;;;;;MOOC;0;0;;0
2122_INTER_IFA009;M;Apprentis;FISA;FRANCAIS(E);oui;;;;;;;;MOOC;0;0;;0
2122_INTER_IFA010;M;Apprentis;FISA;FRANCAIS(E);oui;;;;;;;;MOOC;0;0;;0
2122_INTER_IFA011;M;Apprentis;FISA;FRANCAIS(E);oui;;;;;;;;;0;0;;0
2122_INTER_IFA012;M;Apprentis;FISA;MALGACHE;oui;;;;;;;;MOOC;0;0;;0
2122_INTER_IFA013;F;Apprentis;FISA;FRANCAIS(E);oui;;;;;;;;;2,5;0;;2,5
2122_INTER_IFA014;M;Apprentis;FISA;FRANCAIS(E);oui;;;;;;;;MOOC;0;0;;0
2122_INTER_IFA015;F;FISEA;FISEA;FRANCAIS(E);oui;;;;;;;;MOOC;0;0;;0
2122_INTER_IFA016;M;FISEA;FISEA;FRANCAIS(E);oui;;;;;;;;MOOC;0;0;;0
2122_INTER_IFA017;M;FISEA;FISEA;FRANCAIS(E);oui;;;;;;;;MOOC;0;0;;0
2122_INTER_IFA018;F;FISEA;FISEA;FRANCAIS(E);oui;;;;;;1;;;1;0;;1
2122_INTER_IFA019;M;FISEA;FISEA;FRANCAIS(E);oui;;;;;;;;MOOC;0;0;;0
2122_INTER_IFA020;F;FISEA;FISEA;FRANCAIS(E);oui;;;;;;1;;;1;0;;1
